Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.094,0,-6.21427e-05,-0.00057277,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000241228,0.00686701,-2.76583,-0.595038,-1.37987,4.13282,877.857,0,0,0
0.095,0,-6.26966e-05,-0.00055387,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000248278,0.00704963,-2.83943,-0.531001,-1.37332,4.25268,883.664,0,0,0
0.096,0,-6.32309e-05,-0.000534394,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000255529,0.00725152,-2.92076,-0.46571,-1.33003,4.37543,886.935,0,0,0
0.097,0,-6.37453e-05,-0.00051438,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000262861,0.00733188,-2.95349,-0.425695,-1.21602,4.51251,890.051,0,0,0
0.098,0,-6.42392e-05,-0.000493912,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000270145,0.00728399,-2.93492,-0.409571,-1.11158,4.64156,893.005,0,0,0
0.099,0,-6.47129e-05,-0.000473713,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000276994,0.00684886,-2.76143,-0.469801,-1.04079,4.76083,897.88,0,0,0
0.1,0,-6.51667e-05,-0.000453739,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000283149,0.00615474,-2.4843,-0.601863,-1.11816,4.85202,902.345,0,0,0
0.101,0,-6.56001e-05,-0.000433374,0,0,-1.07105e-12,-1.07105e-09,0,0,0.00028893,0.0057812,-2.33536,-0.668341,-1.34789,4.90565,904.499,0,0,0
0.102,0,-6.60133e-05,-0.000413273,0,0,-1.07105e-12,-1.07105e-09,0,0,0.00029443,0.0054995,-2.22314,-0.712555,-1.41047,5.00194,908.384,0,0,0
0.103,0,-6.64073e-05,-0.000394009,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000299285,0.00485546,-1.96593,-0.890797,-1.38942,5.12537,913.826,0,0,0
0.104,0,-6.67828e-05,-0.000375467,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000304268,0.00498312,-2.01739,-0.79102,-1.49085,5.22385,918.736,0,0,0
0.105,0,-6.71393e-05,-0.000356451,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000309657,0.00538881,-2.18008,-0.605269,-1.29351,5.4024,919.533,0,0,0
0.106,0,-6.74763e-05,-0.000337059,0,0,-1.07105e-12,-1.07105e-09,0,0,0.00031529,0.00563341,-2.27836,-0.485437,-1.02094,5.58022,920.194,0,0,0
0.107,0,-6.77937e-05,-0.000317349,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000320888,0.00559749,-2.26444,-0.439956,-0.830612,5.72081,920.709,0,0,0
0.108,0,-6.80911e-05,-0.000297427,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000326304,0.00541608,-2.19232,-0.432095,-0.781235,5.82354,921.072,0,0,0
0.109,0,-6.83689e-05,-0.000277778,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000331822,0.00551826,-2.23363,-0.346037,-0.803757,5.90239,922.892,0,0,0
