Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.099,0,-6.3047e-05,-0.000446665,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000358682,-0.00424809,1.72776,-1,-7.62709,4.65686,879.752,0,0,0
0.1,0,-6.3474e-05,-0.000426999,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000362215,-0.00353244,1.44181,-1,-7.75153,4.78029,883.53,0,0,0
0.101,0,-6.38815e-05,-0.000407439,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000364911,-0.00269653,1.1077,-1,-7.74008,5.09593,886.912,0,0,0
0.102,0,-6.42689e-05,-0.000387468,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000367107,-0.00219581,0.907606,-1,-7.91078,5.09798,888.163,0,0,0
0.103,0,-6.46361e-05,-0.000367142,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000369176,-0.00206899,0.857047,-1,-8.14536,4.97256,889.264,0,0,0
0.104,0,-6.49826e-05,-0.000346544,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.0003713,-0.00212433,0.879352,-1,-8.40577,4.77461,890.207,0,0,0
0.105,0,-6.53084e-05,-0.000325751,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000373476,-0.00217526,0.899894,-1,-8.62119,4.63078,891.04,0,0,0
0.106,0,-6.56132e-05,-0.000304799,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000375622,-0.0021464,0.888523,-1,-8.76926,4.5946,891.648,0,0,0
0.107,0,-6.58969e-05,-0.000283761,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000377679,-0.00205674,0.852828,-1,-8.86824,4.63998,892.08,0,0,0
0.108,0,-6.61601e-05,-0.000263145,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000379386,-0.00170709,0.713117,-1,-8.94757,4.71088,893.865,0,0,0
0.109,0,-6.64025e-05,-0.000242457,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000380857,-0.00147119,0.618884,-1,-8.75269,5.25294,893.816,0,0,0
0.11,0,-6.66242e-05,-0.000221685,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000382268,-0.00141096,0.594908,-1,-8.78596,5.36909,893.59,0,0,0
0.111,0,-6.68252e-05,-0.000200956,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000383694,-0.00142658,0.601269,-1,-8.93208,5.28457,893.185,0,0,0
0.112,0,-6.70058e-05,-0.000180633,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000385352,-0.00165763,0.693815,-1,-9.12929,5.09247,893.963,0,0,0
0.113,0,-6.71663e-05,-0.000160471,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00038715,-0.00179761,0.749944,-1,-9.36052,4.80928,893.074,0,0,0
0.114,0,-6.73071e-05,-0.000140828,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000389138,-0.00198852,0.82646,-1,-9.5379,4.60066,893.304,0,0,0
0.115,0,-6.74287e-05,-0.000121552,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000391435,-0.00229667,0.949892,-1,-9.62996,4.54999,893.203,0,0,0
0.116,0,-6.75311e-05,-0.000102477,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000393846,-0.00241145,0.99599,-1,-9.86843,4.1556,891.56,0,0,0
0.117,0,-6.76146e-05,-8.34181e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000396151,-0.00230437,0.953348,-1,-10.0089,3.9499,889.755,0,0,0
0.118,0,-6.76791e-05,-6.45171e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000398237,-0.00208659,0.866413,-1,-10.1319,3.75609,887.787,0,0,0
0.119,0,-6.77248e-05,-4.57606e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000400106,-0.00186895,0.779512,-1,-10.2795,3.4511,885.657,0,0,0
0.12,0,-6.77522e-05,-2.73531e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000401805,-0.00169884,0.71161,-1,-10.4604,2.96852,883.357,0,0,0
0.121,0,-6.77613e-05,-9.06328e-06,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000403416,-0.00161046,0.676393,-1,-10.5324,2.79451,880.894,0,0,0
0.122,0,-6.77524e-05,8.88255e-06,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000404945,-0.00152989,0.644292,-1,-10.7475,1.89571,878.262,0,0,0
0.123,0,-6.77258e-05,2.65656e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00040643,-0.00148442,0.626223,-1,-10.7453,1.96705,875.471,0,0,0
0.124,0,-6.76822e-05,4.3561e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000407993,-0.00156356,0.658001,-1,-10.8693,1.14524,873.387,0,0,0
0.125,0,-6.7622e-05,6.02586e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000409549,-0.00155531,0.654827,-1,-10.7354,2.05984,871.018,0,0,0
0.126,0,-6.75457e-05,7.63087e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00041119,-0.0016412,0.689309,-1,-10.7024,-2.21057,868.354,0,0,0
0.127,0,-6.74535e-05,9.22201e-05,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000412906,-0.00171637,0.719512,-1,-10.6814,2.25454,864.48,0,0,0
0.128,0,-6.73456e-05,0.000107865,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000414902,-0.00199569,0.831388,-1,-9.83933,-4.72098,860.709,0,0,0
0.129,0,-6.72224e-05,0.000123212,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000416857,-0.00195549,0.815467,-1,-10.6182,2.46788,856.78,0,0,0
0.13,0,-6.70845e-05,0.000137887,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000419357,-0.00249979,1.03337,-1,-7.94419,-7.46591,853.34,0,0,0
0.131,0,-6.6932e-05,0.000152519,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000421541,-0.00218379,0.90715,-1,-10.5614,2.65082,849.081,0,0,0
0.132,0,-6.67653e-05,0.000166645,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000424416,-0.0028749,1.1838,-1,-6.53999,-8.71014,844.727,0,0,0
0.133,0,-6.65849e-05,0.000180449,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000426703,-0.00228668,0.948718,-1,-10.8736,-0.128372,840.233,0,0,0
0.134,0,-6.6391e-05,0.000193925,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000429449,-0.0027462,1.13272,-1,-6.50087,-8.71343,835.653,0,0,0
0.135,0,-6.61841e-05,0.000206906,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000431582,-0.00213302,0.88765,-1,-10.6519,-2.03785,830.938,0,0,0
0.136,0,-6.59644e-05,0.000219653,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000434488,-0.00290601,1.19705,-1,-5.62158,-9.26868,826.143,0,0,0
0.137,0,-6.57325e-05,0.000231943,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000436921,-0.00243359,1.00829,-1,-10.3229,-3.21555,821.221,0,0,0
0.138,0,-6.54886e-05,0.000243891,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000440077,-0.00315598,1.29747,-1,-5.36102,-9.38361,816.226,0,0,0
0.139,0,-6.52332e-05,0.000255395,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000442882,-0.00280441,1.15708,-1,-9.30576,-5.44492,811.113,0,0,0
0.14,0,-6.49666e-05,0.000266535,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000446055,-0.00317267,1.30462,-0.787428,-5.87192,-9.02807,805.931,0,0,0
0.141,0,-6.46894e-05,0.000277266,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000449078,-0.00302302,1.24501,1,-7.93335,-7.24714,800.647,0,0,0
0.142,0,-6.44018e-05,0.000287595,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000452348,-0.0032706,1.3443,1,-6.0508,-8.85808,795.294,0,0,0
0.143,0,-6.41043e-05,0.00029752,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000455666,-0.00331752,1.36333,1,-6.81799,-8.25241,789.855,0,0,0
